timestamp,model,turn,prompt_tokens,completion_tokens,cum_prompt_tokens,cum_cost_usd,cum_cost_php
"2026-09-22T00:23:36Z","z-ai/glm-5.3-flash","1","94","800","94","0.000207","0.013"
"2026-09-22T00:24:11Z","z-ai/glm-5.3-flash","2","118","800","212","0.00044","0.0277"
"2026-09-22T00:24:16Z","z-ai/glm-5.3-flash","3","138","800","350","0.000861","0.0542"
"2026-09-22T00:24:43Z","z-ai/glm-5.3-flash","4","162","800","512","0.001264","0.0795"
"2026-09-22T00:24:56Z","z-ai/glm-5.3-flash","5","177","384","689","0.001483","0.0933"
"2026-09-22T00:25:18Z","z-ai/glm-5.3-flash","6","566","520","1255","0.001828","0.115"
"2026-09-22T00:25:24Z","openai/gpt-5.6-luna","1","89","688","89","0.000843","0.0531"
"2026-09-22T00:25:31Z","openai/gpt-5.6-luna","2","289","800","378","0.001861","0.1171"
"2026-09-22T00:25:41Z","openai/gpt-5.6-luna","3","594","800","972","0.00294","0.185"
"2026-09-22T00:25:49Z","openai/gpt-5.6-luna","4","903","800","1875","0.004081","0.2567"
"2026-09-22T00:25:56Z","openai/gpt-5.6-luna","5","1062","800","2937","0.005306","0.3338"
"2026-09-22T00:25:59Z","openai/gpt-5.6-luna","6","1480","140","4417","0.0056","0.3523"
"2026-09-22T00:26:12Z","deepseek/deepseek-v4-pro-0813","1","169","800","169","0.003391","0.2133"
"2026-09-22T00:26:29Z","deepseek/deepseek-v4-pro-0813","2","194","800","363","0.00613","0.3857"
"2026-09-22T00:26:47Z","deepseek/deepseek-v4-pro-0813","3","137","350","500","0.007262","0.4569"
"2026-09-22T00:27:07Z","deepseek/deepseek-v4-pro-0813","4","589","800","1089","0.011208","0.7051"
"2026-09-22T00:27:21Z","deepseek/deepseek-v4-pro-0813","5","604","800","1693","0.012886","0.8106"
"2026-09-22T00:28:02Z","deepseek/deepseek-v4-pro-0813","6","549","800","2242","0.015467","0.9731"
"2026-09-22T00:28:07Z","anthropic/claude-sonnet-5","1","132","260","132","0.002864","0.1802"
"2026-09-22T00:28:13Z","anthropic/claude-sonnet-5","2","425","719","557","0.010904","0.686"
"2026-09-22T00:28:24Z","anthropic/claude-sonnet-5","3","971","800","1528","0.020846","1.3114"
"2026-09-22T00:28:32Z","anthropic/claude-sonnet-5","4","1215","800","2743","0.031276","1.9676"
"2026-09-22T00:28:37Z","anthropic/claude-sonnet-5","5","1720","442","4463","0.039136","2.462"
"2026-09-22T00:28:40Z","anthropic/claude-sonnet-5","6","2139","152","6602","0.044934","2.8268"
"2026-09-22T00:28:50Z","anthropic/claude-opus-5","1","132","800","132","0.02066","1.2997"
"2026-09-22T00:29:03Z","anthropic/claude-opus-5","2","721","800","853","0.044265","2.7847"
"2026-09-22T00:29:19Z","anthropic/claude-opus-5","3","747","800","1600","0.068","4.2779"
"2026-09-22T00:29:33Z","anthropic/claude-opus-5","4","780","800","2380","0.0919","5.7814"
"2026-09-22T00:29:50Z","anthropic/claude-opus-5","5","795","800","3175","0.115875","7.2897"
"2026-09-22T00:30:04Z","anthropic/claude-opus-5","6","822","800","3997","0.139985","8.8065"
