timestamp,model,turn,prompt_tokens,completion_tokens,cum_prompt_tokens,cum_cost_usd,cum_cost_php
"2026-09-22T00:36:03Z","z-ai/glm-5.3-flash","1","94","166","94","9.7E-05","0.0061"
"2026-09-22T00:36:07Z","z-ai/glm-5.3-flash","2","283","371","377","0.000325","0.0204"
"2026-09-22T00:36:38Z","z-ai/glm-5.3-flash","3","629","800","1006","0.000599","0.0377"
"2026-09-22T00:37:00Z","z-ai/glm-5.3-flash","4","653","800","1659","0.000848","0.0534"
"2026-09-22T00:37:16Z","z-ai/glm-5.3-flash","5","668","800","2327","0.001356","0.0853"
"2026-09-22T00:37:36Z","z-ai/glm-5.3-flash","6","692","800","3019","0.001869","0.1176"
"2026-09-22T00:37:47Z","deepseek/deepseek-v4-pro-0813","1","90","176","90","0.000584","0.0367"
"2026-09-22T00:38:02Z","deepseek/deepseek-v4-pro-0813","2","290","316","380","0.001552","0.0976"
"2026-09-22T00:38:23Z","deepseek/deepseek-v4-pro-0813","3","627","402","1007","0.002839","0.1786"
"2026-09-22T00:38:45Z","deepseek/deepseek-v4-pro-0813","4","1052","500","2059","0.004372","0.2751"
"2026-09-22T00:39:27Z","deepseek/deepseek-v4-pro-0813","5","1566","800","3625","0.006812","0.4285"
"2026-09-22T00:39:38Z","deepseek/deepseek-v4-pro-0813","6","2389","117","6014","0.007294","0.4589"
"2026-09-22T00:39:42Z","moonshotai/kimi-k2","1","93","130","93","0.000352","0.0221"
"2026-09-22T00:39:48Z","moonshotai/kimi-k2","2","252","242","345","0.001052","0.0662"
"2026-09-22T00:39:54Z","moonshotai/kimi-k2","3","520","273","865","0.001977","0.1243"
"2026-09-22T00:41:07Z","moonshotai/kimi-k2","4","821","3349","1686","0.010147","0.6384"
"2026-09-22T00:41:19Z","moonshotai/kimi-k2","5","1185","553","2871","0.012095","0.7609"
"2026-09-22T00:41:21Z","moonshotai/kimi-k2","6","1767","96","4638","0.013323","0.8381"
"2026-09-22T00:41:51Z","qwen/qwen3-235b-a22b","1","90","2071","90","0.00381","0.2397"
"2026-09-22T00:42:49Z","qwen/qwen3-235b-a22b","2","251","3892","341","0.011008","0.6925"
"2026-09-22T00:43:56Z","qwen/qwen3-235b-a22b","3","518","4340","859","0.019142","1.2042"
"2026-09-22T00:44:34Z","qwen/qwen3-235b-a22b","4","804","2272","1663","0.023643","1.4874"
"2026-09-22T00:45:04Z","qwen/qwen3-235b-a22b","5","1157","1240","2820","0.026426","1.6625"
"2026-09-22T00:45:21Z","qwen/qwen3-235b-a22b","6","1785","910","4605","0.028895","1.8178"
