timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost_usd,cost_php,max_tokens_cap
"2026-09-22T00:12:30Z","z-ai/glm-5.3-flash","99","600","699","0.000315","0.0198","600"
"2026-09-22T00:12:38Z","openai/gpt-5.6-luna","94","600","694","0.000739","0.0465","600"
"2026-09-22T00:12:48Z","deepseek/deepseek-v4-pro-0813","174","600","774","0.001954","0.1229","600"
"2026-09-22T00:13:58Z","z-ai/glm-5.3-flash","99","1222","1321","0.000626","0.0394","1500"
"2026-09-22T00:14:07Z","openai/gpt-5.6-luna","94","680","774","0.000835","0.0525","1500"
"2026-09-22T00:14:29Z","deepseek/deepseek-v4-pro-0813","174","1500","1674","0.005244","0.3298","1500"
"2026-09-22T00:17:19Z","z-ai/glm-5.3-flash","99","237","336","0.000133","0.0084","1500"
"2026-09-22T00:17:28Z","openai/gpt-5.6-luna","94","650","744","0.000799","0.0502","1500"
"2026-09-22T00:17:36Z","deepseek/deepseek-v4-pro-0813","95","205","300","0.000657","0.0413","1500"
"2026-09-22T00:17:44Z","anthropic/claude-sonnet-5","145","300","445","0.00329","0.2069","1500"
"2026-09-22T00:17:58Z","anthropic/claude-opus-5","145","775","920","0.0201","1.2641","1500"
